"enemy_id","card_id","static_card_required","static_ordinal","name","race_id","level","hp","atk","def","story_or_special","not_in_book","rarity_tier","rarity_label","guardian_power_tier","hp_multiplier","atk_multiplier","def_multiplier","guardian_sp_cost","native_tier_median_sp_cost","balance_note"
"178","178","N","0","神龍","4","56","3800","580","140","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"179","179","N","0","鳳凰","4","58","3500","600","160","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"180","10066","Y","66","格特輪","1","40","2300","280","100","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"181","181","N","0","庫塔","9","36","380","215","95","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"184","184","N","0","食屍鬼","8","39","500","344","103","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"185","185","N","0","山鬼","7","35","250","280","120","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"186","186","N","0","黑無常","1","49","2700","500","130","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"189","189","N","0","食人花","8","28","140","125","88","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"191","191","N","0","樂仙女","2","45","1160","430","112","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"194","194","N","0","白無常","1","53","2300","530","136","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"197","197","N","0","耆戈","0","38","320","205","100","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"198","198","N","0","太白金星","0","54","2500","560","145","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"199","199","N","0","天將","2","51","2800","570","135","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"206","206","N","0","惡靈","7","21","40","56","30","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"208","208","N","0","水鬼","7","17","53","53","34","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"213","213","N","0","龍王","4","54","3200","580","160","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"214","214","N","0","黑龍","4","52","2800","550","150","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"221","221","N","0","枯屍鬼","3","27","300","127","50","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"222","222","N","0","枯屍鬼王","3","31","400","136","55","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"223","223","N","0","石獅精","9","48","1800","530","160","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"226","226","N","0","獨角獸","4","44","1000","500","100","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"238","238","N","0","尼梅亞獅","5","44","1500","530","166","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"253","253","N","0","雪芙","6","39","1000","500","125","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"254","254","N","0","肯塔羅斯","4","38","1200","480","122","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"255","255","N","0","尼凱","0","59","2600","600","180","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"267","267","N","0","冥府獄卒","7","45","700","390","106","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"269","269","N","0","冤魂","7","39","460","340","95","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"271","271","N","0","吊死鬼","7","41","580","355","100","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"272","272","N","0","餓死鬼","7","37","400","330","88","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"273","273","N","0","瘟鬼","7","43","620","378","96","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"274","274","N","0","夜叉","8","42","400","350","93","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"277","277","N","0","雪女","6","45","1500","446","105","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"281","281","N","0","天宮仙女","2","43","1350","458","120","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"316","316","N","0","妖燈鬼","8","46","1080","460","96","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"317","317","N","0","迷魂霧妖","9","45","80","460","10","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"368","368","N","0","鬥戰聖佛","1","65","3000","630","160","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"377","377","N","0","死靈騎士","1","50","3000","530","160","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"378","10067","Y","67","鬥戰聖佛","1","57","20000","630","160","Y","","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"379","10068","Y","68","鬥戰聖佛分身","1","50","8000","580","140","","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"380","10069","Y","69","教眾長老","23","48","1200","380","148","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"381","10070","Y","70","黃八","23","45","5800","360","158","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"382","10071","Y","71","人屍","3","50","3000","522","158","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"383","10072","Y","72","蜃樓石頭妖","8","45","3500","350","150","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"384","10073","Y","73","蜃樓財寶怪","8","40","2500","280","100","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"385","10074","Y","74","響尾蛇","14","23","135","115","64","","Y","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"386","10075","Y","75","大棕熊","14","26","165","126","92","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"387","10076","Y","76","銀背金剛","14","23","140","126","80","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"388","10077","Y","77","紅鬃猿","14","22","105","112","80","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"389","10078","Y","78","奧斯曼","23","30","400","160","85","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"390","390","N","0","鬼爵","3","34","220","160","79","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"391","391","N","0","魚身人面妖","8","30","180","150","89","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"392","392","N","0","閻惡靈","7","29","160","164","60","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"393","10079","Y","79","沙漠綠蠍","14","25","200","120","68","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"394","10080","Y","80","地獄妖貓","3","35","150","138","90","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"395","10081","Y","81","高地骷髏妖","3","31","700","127","85","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"396","10082","Y","82","弒肉妖","8","25","480","75","62","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"397","10083","Y","83","赤尾蠍子","14","17","40","50","43","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"398","10084","Y","84","加賽因","9","23","100","48","25","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"399","10085","Y","85","修道院院長","23","20","135","53","48","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"400","10086","Y","86","梅羅文加軍人","23","3","15","15","12","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"403","10087","Y","87","死靈騎士","1","56","3000","530","160","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"407","10088","Y","88","教士","23","6","24","30","20","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"408","10089","Y","89","武僧","23","8","38","35","23","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"409","10090","Y","90","梅羅文加軍人","23","7","28","34","23","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"410","10091","Y","91","威尼斯水軍","23","15","80","70","58","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"411","10092","Y","92","黑衣大食兵","23","35","220","220","65","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"412","10093","Y","93","白衣大食兵","23","32","220","200","60","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"416","10094","Y","94","唐軍步卒","10","33","250","204","64","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"433","10095","Y","95","道士","23","45","680","360","158","","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"438","10096","Y","96","蔡魔王","1","99","10000","100","100","","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"2201","2201","N","0","土匪","23","50","3000","530","160","","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"2202","10097","Y","97","NAME1032","23","50","10000","550","66","Y","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"2203","2203","N","0","山鬼","7","35","9999","1","999","","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
