action_row,enemy_id,enemy_name,action_type,source_id,action_name,effect_id,attack_point,attribute_id,wide_range,add_hp,add_mp,add_sp,calculation,snatch_hp,snatch_mp,snatch_sp,affixation_effect,relieve_effect,add_buff,continuous_turns,initial_usage_count,ai_rate,risk_tags,targeting,limitation
116,178,神龍,普通攻擊,,基本攻擊效果,406,0,6,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
117,178,神龍,特殊攻擊,429,特殊攻擊效果 429,429,800,6,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
118,178,神龍,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
119,69,撒旦麥爾斯,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
120,69,撒旦麥爾斯,技能,1,技能 1,,,,,,,,,,,,,,,,1,0,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
121,69,撒旦麥爾斯,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,1,0,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
122,179,鳳凰,普通攻擊,,基本攻擊效果,400,0,1,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
123,179,鳳凰,技能,1706,千烈凰屏,401,700,1,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
124,179,鳳凰,技能,1706,千烈凰屏,401,700,1,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
125,71,木鐵人,普通攻擊,,基本攻擊效果,132,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
126,71,木鐵人,技能,1689,菩提羅漢,305,450,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
127,71,木鐵人,技能,1689,菩提羅漢,305,450,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
128,71,木鐵人,特殊攻擊,3,特殊攻擊效果 3,3,0,9,,,,,,,,,0,0,0,0,8,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
129,383,蜃樓石頭妖,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
130,383,蜃樓石頭妖,特殊攻擊,206,特殊攻擊效果 206,206,200,1,Y,,,,,,,,0,0,0,0,3,3,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
131,383,蜃樓石頭妖,特殊攻擊,206,特殊攻擊效果 206,206,200,1,Y,,,,,,,,0,0,0,0,2,3,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
132,18,鬼猴,普通攻擊,,基本攻擊效果,150,0,4,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
133,18,鬼猴,特殊攻擊,151,特殊攻擊效果 151,151,300,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
134,18,鬼猴,特殊攻擊,151,特殊攻擊效果 151,151,300,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
135,62,藍魔神本體,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
136,62,藍魔神本體,技能,1673,晶石裂地,109,75,2,Y,,,,,,,,0,0,0,0,4,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
137,62,藍魔神本體,技能,1672,凝冰術,110,100,2,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
138,62,藍魔神本體,特殊攻擊,1,特殊攻擊效果 1,1,0,9,,,,,,,,,0,0,0,0,5,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
139,213,龍王,普通攻擊,,基本攻擊效果,406,0,6,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
140,213,龍王,特殊攻擊,408,特殊攻擊效果 408,408,650,1,Y,,,,,,,,0,0,0,0,12,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
141,213,龍王,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
142,368,鬥戰聖佛,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
143,368,鬥戰聖佛,技能,1705,神焰九轉,389,600,1,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
144,368,鬥戰聖佛,技能,1705,神焰九轉,389,600,1,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
145,377,死靈騎士,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
146,377,死靈騎士,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
147,2201,土匪,普通攻擊,,基本攻擊效果,189,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
148,2201,土匪,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
149,2201,土匪,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
150,403,死靈騎士,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
151,403,死靈騎士,特殊攻擊,378,特殊攻擊效果 378,378,500,7,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
152,382,人屍,特殊攻擊,422,特殊攻擊效果 422,422,1000,7,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
153,382,人屍,特殊攻擊,422,特殊攻擊效果 422,422,1000,7,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
154,61,機關三魔獸,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
155,61,機關三魔獸,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,6,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
156,199,天將,普通攻擊,,基本攻擊效果,404,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
157,199,天將,特殊攻擊,405,特殊攻擊效果 405,405,1000,6,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
158,199,天將,特殊攻擊,405,特殊攻擊效果 405,405,1000,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
159,214,黑龍,普通攻擊,,基本攻擊效果,406,0,6,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
160,214,黑龍,特殊攻擊,407,特殊攻擊效果 407,407,600,2,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
161,214,黑龍,特殊攻擊,296,特殊攻擊效果 296,296,0,10,,,,,,,,,0,0,268435456,5,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
162,186,黑無常,普通攻擊,,基本攻擊效果,410,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
163,186,黑無常,技能,1708,無常沙石,411,500,4,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
164,186,黑無常,技能,1708,無常沙石,411,500,4,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
165,255,尼凱,普通攻擊,,基本攻擊效果,40,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
166,255,尼凱,技能,1715,聖光浴,432,1000,6,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
167,255,尼凱,技能,1715,聖光浴,432,1000,6,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
168,255,尼凱,特殊攻擊,4,特殊攻擊效果 4,4,0,9,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
169,198,太白金星,普通攻擊,,基本攻擊效果,402,0,8,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
170,198,太白金星,技能,1707,道臨天下,403,800,6,Y,,,,,,,,0,0,0,0,4,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
171,198,太白金星,技能,1707,道臨天下,403,800,6,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
172,198,太白金星,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,3,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
173,198,太白金星,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
174,47,蟹精魔機,普通攻擊,,基本攻擊效果,433,0,8,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
175,47,蟹精魔機,特殊攻擊,434,特殊攻擊效果 434,434,800,8,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
176,47,蟹精魔機,特殊攻擊,434,特殊攻擊效果 434,434,800,8,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
177,67,康那里士,普通攻擊,,基本攻擊效果,257,10,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
178,67,康那里士,技能,1684,靈魔幻音,199,300,7,Y,,,,,,,,0,0,0,0,5,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
179,67,康那里士,技能,1552,食魂咒,59,0,7,,,,,,,,,64,0,0,5,4,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
180,67,康那里士,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
181,67,康那里士,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
182,384,蜃樓財寶怪,普通攻擊,,基本攻擊效果,132,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
183,194,白無常,普通攻擊,,基本攻擊效果,322,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
184,194,白無常,技能,1691,無常陰風,324,800,3,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
185,194,白無常,技能,1691,無常陰風,324,800,3,,,,,,,,,0,0,0,0,2,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
186,194,白無常,特殊攻擊,3,特殊攻擊效果 3,3,0,9,,,,,,,,,0,0,0,0,4,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
187,180,格特輪,普通攻擊,,基本攻擊效果,197,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
188,180,格特輪,技能,1684,靈魔幻音,199,300,7,Y,,,,,,,,0,0,0,0,4,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
189,180,格特輪,技能,1502,焰火環,12,0,1,,,,,,,,,1,0,0,8,5,6,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
190,180,格特輪,技能,1684,靈魔幻音,199,300,7,Y,,,,,,,,0,0,0,0,2,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
191,180,格特輪,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
192,180,格特輪,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
193,149,九天玄女,普通攻擊,,基本攻擊效果,399,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
194,149,九天玄女,技能,1700,日輪烈焰,382,320,1,Y,,,,,,,,0,0,0,0,8,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
195,149,九天玄女,技能,1698,移魂仙樂,380,550,6,,,,,,,,,0,0,0,0,5,6,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
196,149,九天玄女,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
197,149,九天玄女,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
198,165,色烈芬,特殊攻擊,427,特殊攻擊效果 427,427,600,6,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
199,165,色烈芬,特殊攻擊,427,特殊攻擊效果 427,427,600,6,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
200,172,阿普洛迪,普通攻擊,,基本攻擊效果,111,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
201,172,阿普洛迪,特殊攻擊,428,特殊攻擊效果 428,428,1200,6,,,,,,,,,0,0,0,0,8,6,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
202,172,阿普洛迪,特殊攻擊,428,特殊攻擊效果 428,428,1200,6,,,,,,,,,0,0,0,0,5,6,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
203,13,藍魔神,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
204,13,藍魔神,技能,1,技能 1,,,,,,,,,,,,,,,,6,5,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
205,13,藍魔神,特殊攻擊,1,特殊攻擊效果 1,1,0,9,,,,,,,,,0,0,0,0,5,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
206,223,石獅精,普通攻擊,,基本攻擊效果,133,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
207,223,石獅精,技能,1709,獅子吼,409,500,9,,,,,,,,,0,0,0,0,4,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
208,223,石獅精,技能,1709,獅子吼,409,500,9,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
209,76,羯忍幻機,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
210,76,羯忍幻機,特殊攻擊,397,特殊攻擊效果 397,397,700,8,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
211,76,羯忍幻機,特殊攻擊,398,特殊攻擊效果 398,398,600,9,,,,,,,,,0,0,0,0,8,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
212,49,羯忍幻機,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
213,49,羯忍幻機,特殊攻擊,397,特殊攻擊效果 397,397,700,8,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
214,49,羯忍幻機,特殊攻擊,398,特殊攻擊效果 398,398,600,9,,,,,,,,,0,0,0,0,8,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
215,6,姆斯比爾,普通攻擊,,基本攻擊效果,61,0,1,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
216,6,姆斯比爾,技能,1666,炎魔熾烈擊,63,80,1,Y,,,,,,,,0,0,0,0,5,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
217,6,姆斯比爾,技能,1667,火神力場,64,8,1,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
218,6,姆斯比爾,特殊攻擊,6,特殊攻擊效果 6,6,0,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
219,158,娥皇,普通攻擊,,基本攻擊效果,153,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
220,158,娥皇,技能,1700,日輪烈焰,382,320,1,Y,,,,,,,,0,0,0,0,5,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
221,158,娥皇,技能,1686,封靈滅法,208,0,10,,,,,,,,,16,0,0,8,3,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
222,159,女英,普通攻擊,,基本攻擊效果,387,0,2,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
223,159,女英,技能,1701,殘月鎖漪,383,400,2,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
224,159,女英,技能,1701,殘月鎖漪,383,400,2,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
225,148,七仙女,普通攻擊,,基本攻擊效果,349,0,6,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
226,148,七仙女,技能,1698,移魂仙樂,380,550,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
227,148,七仙女,技能,1698,移魂仙樂,380,550,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
228,238,尼梅亞獅,普通攻擊,,基本攻擊效果,322,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
229,238,尼梅亞獅,技能,1709,獅子吼,409,500,9,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
230,238,尼梅亞獅,技能,1709,獅子吼,409,500,9,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
231,150,嫦娥,普通攻擊,,基本攻擊效果,358,0,2,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
232,150,嫦娥,技能,1548,元體靈滅,334,500,6,,,,,,,,,0,0,0,0,6,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
233,150,嫦娥,技能,1542,禁言封咒術,148,0,6,,,,,,,,,16,0,0,5,4,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
234,150,嫦娥,技能,1548,元體靈滅,334,500,6,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
235,277,雪女,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
236,277,雪女,技能,1702,三日結寒,384,300,2,Y,,,,,,,,2,0,0,3,4,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
237,277,雪女,技能,1702,三日結寒,384,300,2,Y,,,,,,,,2,0,0,3,3,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
