"item_id","name","race_id","level","act","existing_living_card","story_or_special_flag","not_in_book","is_unique","discard","hp","atk","def","spd","wis","dodge_rate","escape_rate","gain_exp","gain_gold","basic_attack_effect_id","skill_ids","skill_counts","skill_rate","special_effect_ids","special_effect_counts","special_effect_rate","critical_skill_ids","critical_skill_counts","drop_item_ids","drop_item_rates","attr_fire","attr_ice","attr_wind","attr_earth","attr_poison","attr_light","attr_dark","attr_thunder","attr_physical","help_text"
"159","女英","0","46","159","Y","","","","","1650","495","115","64","160","4","2","100","180","387","1701|1701","6|3","5","","","0","","","0|702","0|1","4","-4","0","0","0","-4","2","0","0","堯帝的兩位女兒之一，堯為了考驗舜，將兩位女兒嫁予舜。後來舜駕崩於鄉湘江附近的九疑山。娥皇、女英聞之便至湘江哭祭，遂投江自盡。後人憐之便建廟祭祀；遂有湘君、湘夫人之稱。"
"160","席娜","1","34","160","Y","","","","","350","200","75","46","120","4","1","50","70","120","","","3","193|193","2|2","3","1574|1574","1|1","649","3","-2","-2","-2","-2","-2","4","-8","0","0","傳說是瓦雀的妹妹，但卻一值沒有被承認大概是因入了魔道的原因吧。"
"161","亞坦","1","34","161","Y","","","","","220","150","93","43","120","4","1","50","60","122","1506|1677","3|2","3","","","0","","","637|679","3|2","-4","2","0","0","0","0","0","-2","0","拜火教的火之精靈，是在拜火教中所有的天使和精靈中能力最強的，但是地位卻不是最高的；除了能自由操控火燄外，也可以不用降雨就能召喚雷電攻擊敵人。"
"162","蝠妖","8","28","162","Y","","","","","160","140","70","42","80","4","1","30","42","138","1552","4","3","","","0","","","655|978","3|10","0","0","0","0","0","0","-2","0","0","棲息在大樹上，樣子很醜陋會依照別人對待牠的態度不同，而有所不同的回應，不過通常牠回應的都是惡作劇。"
"163","朱蛤獸","5","33","163","Y","","","","","180","157","79","38","100","4","1","35","35","132","1670","4","3","","","0","","","0|984","0|10","-12","4","0","0","0","0","0","0","0","在巴格達北方一深不見底的黑暗深淵中爬出來的蛤蟆；蛙身、蛇尾全身怪異的火紅色。"
"164","神燈巨人","9","30","164","Y","","","","","300","170","88","37","160","3","1","60","50","119","1678","3","3","","","0","1518|1518","1|1","638|677","3|7","-2","-2","-12","4","-10","-2","-2","2","-6","藏匿於一古油燈內，經由有緣人摩擦燈腹後就會現身完成各種精靈能力範圍內的願望。"
"165","色烈芬","2","52","165","Y","","","","","2000","580","122","60","180","4","0","0","0","","","","0","427|427","6|3","5","","","0|657","0|3","-2","0","0","0","0","-10","0","0","0","有六對翅膀，兩對蓋住臉、兩對蓋住腳、兩對用來飛翔；在翅膀下的真實面貌據說是天真無邪的兒童面孔。"
"166","藍人","9","26","166","Y","","","","","120","110","72","40","52","3","1","32","10","97","1675","3","3","","","0","","","0|653","0|3","4","-14","0","0","0","0","0","0","0","希臘傳說的海中怪物，看見人類船隻時會化整為零，包圍船隻，然後開始用歌聲唱出謎語，人們要是猜輸了，就會被擊沈。還會控制沉船，藉以驚嚇過往的船隻，是墮天使的一種。"
"167","戰死屍鬼","3","43","167","Y","","","","","1300","420","134","62","100","3","1","120","200","122","","","0","352|352","4|4","5","","","661","3","4","0","0","-4","-4","2","-4","0","0","對於戰勝的意念太過於執著，導致死後也到處尋找敵人。"
"168","鱷魚","14","38","168","","","","","","350","235","110","38","70","3","1","42","30","107","","","0","201|201","3|2","3","","","","","0","0","0","0","0","0","0","0","0","非常凶惡的動物，對於出現在牠附近的動物是絕不放過的；當然除非牠飽了。"
"169","大鬣蜥","14","42","169","","","","","","350","385","150","43","10","3","2","63","77","107","","","0","294","6","3","","","649","3","0","0","0","0","0","0","0","0","0","蜥蜴是屬於行動敏捷的獵食者，但只攻擊身形比自身小的動物；不過比大鬣蜥小的動物實在太多了。"
"170","殭屍","3","14","170","Y","","","","","16","24","18","16","10","3","2","8","6","1","","","0","","","0","","","0|621","0|3","4","0","0","0","-4","6","0","0","0","由黑魔法請惡魔操控的人屍，目的是為了讓敵人產生恐懼心，但實力並不強。"
"171","幽靈","7","13","171","Y","","","","","18","30","12","30","15","4","2","18","30","133","","","0","","","0","","","622","4","2","0","0","0","-6","8","0","0","-2","人死後會化成靈體或至天堂或至地獄。而留戀人間不肯離去者；就成了幽靈。"
"172","阿普洛迪","0","52","172","Y","","","","","2000","570","166","64","180","4","1","0","0","111","","","0","428|428","8|5","6","","","0|638","0|3","0","0","0","0","0","0","0","0","0","即維納斯女神，傳說是加亞給克羅諾斯一把大鐮刀把父親的陽具給切了下來後，掉落在海裡所孕化而出的神。"
"173","阿拔東","1","42","173","Y","","","","","480","300","88","50","150","3","1","70","90","254","1526|1526","2|1","4","","","0","1574|1574","1|1","0|712","0|5","-2","-2","-2","-2","-4","4","-10","-2","0","全身覆蓋著鱗片、蠍尾、蝠翼，是負責管理地獄深淵的墮天使；傳言在末世的時後會帶領著戴金色皇冠的煌蟲，使世界受苦五個月。"
"174","阿高司","4","32","174","Y","","","","","350","150","73","55","125","4","1","128","200","4","","","0","93","4","4","","","","","0","0","0","0","0","0","0","0","0","宙斯妻子希拉的隨身護獸，俱有百隻眼睛的神獸；幫希拉監視人間一切事物，後來被哈姆斯所殺；希拉就把百隻眼移植到她的愛鳥---孔雀的尾巴上。"
"175","炎顱","5","36","175","Y","","","","","180","133","65","43","56","5","1","30","38","4","","","0","45","4","3","","","0|627","0|3","-6","0","0","0","0","4","-4","0","0","居住在山中每次一睡就是半年，每半年醒一日但那一日內卻無人能敵；因醒來極度飢餓所以吃了一百頭家畜五百人後就又消失於山中了。"
"176","黑豹","14","24","176","","","","","","150","122","86","47","60","5","1","23","25","8","","","0","114","3","3","","","","","0","0","0","0","0","0","0","0","0","速度奇快無比，體型較其他的豹大；以飛快的速度將獵物撲倒再用尖利的牙齒咬斷獵物的脖子。"
"177","火蠑螈","5","27","177","Y","","","","","170","140","74","45","70","4","1","25","30","136","","","0","125","3","3","","","625","3","-2","0","0","0","-10","0","0","0","0","皮膚鮮明奇特如著火一般使其他的生物不敢靠近；在遭受襲擊時又會分秘毒液使敵人麻痺。"
"178","神龍","4","56","178","Y","","","","","3800","580","140","62","160","5","1","200","100","406","","","0","429|296","8|4","5","","","0|641","0|1","-4","-4","-4","0","-10","-4","4","-4","0","神龍是民間的傳說的神獸，是中國血統的來源，被當成中國人的祖先。"
"179","鳳凰","4","58","179","Y","","","","","3500","600","160","60","120","4","2","350","120","400","1706|1706","6|6","5","","","0","","","0|641","0|1","-20","4","0","0","0","-6","2","0","0","丹穴山上有一奇鳥形似雞五色斑爛，名叫鳳凰。全身印有德、順、義、仁四字，是代表天下太平的聖獸。"
"180","格特輪","1","40","180","","Y","","","","2300","280","100","48","100","4","0","500","800","197","1684|1502|1684","4|5|2","6","","","0","1683|1683","2|1","0|637","0|3","-2","-2","-2","-2","-6","-2","-2","4","-2","古巴比倫帝國的神話半神半魔的怪物；天界和冥界的攔截者，因為本身成不了神，又作不成魔，所以就阻擾其它的人。"
"181","庫塔","9","36","181","Y","","","","","380","215","95","43","160","3","1","65","60","119","1678|1678|1678","1|1|1","4","","","0","1518|1518","1|1","627","3","-4","-4","-4","4","-4","-2","-2","4","-2","有著虛幻的形體，與強大的法力，喜愛看見人間處處有戰火；每當他出現時就表示又要有戰事了。"
"184","食屍鬼","8","39","184","Y","","","","","500","344","103","56","80","3","3","58","120","313","","","0","316|316","4|3","4","","","630","2","2","0","0","0","0","4","0","0","0","極少數的鬼魂會出現在剛去世之人的家中，吸取人體殘存的精氣。"
"185","山鬼","7","35","185","Y","","","","","250","280","120","46","80","4","2","30","45","3","","","0","252","5","3","","","0|627","0|3","0","0","2","-4","-10","4","0","0","0","一些旅行各地的人常因某些原因而葬身山中，在沒人發現的情況下就成了孤魂野鬼出不了此山。"
"186","黑無常","1","49","186","Y","","","","","2700","500","130","60","120","4","2","130","140","410","1708|0|1708","5|0|5","5","","","0","","","0|644","0|3","0","0","0","-4","-10","2","-6","0","0","無常，是民間迷信所謂人死時，閻王派去勾攝生魂的「勾魂鬼」，有黑無常、白無常兩位勾魂使者。"
"189","食人花","8","28","189","Y","","","","","140","125","88","43","20","4","1","27","50","117","","","0","","","0","","","719","3","2","2","0","-2","-10","0","0","0","-2","開著美麗的花朵引誘生物靠近，在將其吞食能吐出特殊黏液將敵人痲痺。"
"191","樂仙女","2","45","191","Y","","","","","1160","430","112","63","130","4","1","85","200","349","1546|1546|1546","5|3|2","5","","","0","1577","2","0|715","0|3","0","0","0","0","-10","-8","2","0","0","傳播美妙的音樂到天上人間每個地方；人們始終相信音樂能夠平息一切紛爭。"
"194","白無常","1","53","194","Y","","","","","2300","530","136","64","150","4","1","150","160","322","1691|1691","4|2","5","323","4","3","","","0|645","0|3","0","0","-4","0","-10","0","0","2","-6","無常，是民間迷信所謂人死時，閻王派去勾攝生魂的「勾魂鬼」，有黑無常、白無常兩位勾魂使者。"
"197","耆戈","0","38","197","Y","","","","","320","205","100","48","120","4","1","45","70","122","","","0","192|192","3|2","3","","","626","3","-4","2","0","0","0","0","0","-2","0","原為天界之神，專司人間善惡懲戒的司法神；當人類犯錯事時它會降下雷電懲罰人類，但因一次的過失則遭降至人間體驗人世。"
"198","太白金星","0","54","198","Y","","","","","2500","560","145","68","180","4","1","180","160","402","1707|0|1707","4|0|6","5","","","0","1578|1578","3|1","0|646","0|1","-2","-2","-2","-2","0","-10","2","-2","0","老態龍鐘、仁厚善良，身背一角天書是玉皇大帝的欽派特使。"
"199","天將","2","51","199","Y","","","","","2800","570","135","60","100","4","1","110","80","404","","","0","405|405","5|3","5","","","0|716","0|2","0","0","0","0","-10","-8","-4","0","0","天庭中的區管長，維持秩序的神。"
"206","惡靈","7","21","206","Y","","","","","40","56","30","38","24","4","1","36","70","1","","","0","","","0","","","626","3","2","0","0","0","0","4","-2","0","-2","被人陷害而死的鬼魂，有極大的怨念所以產生了一般鬼魂所沒有的念力。"
"208","水鬼","7","17","208","Y","","","","","53","53","34","32","30","3","1","13","15","1","","","0","","","0","","","722","4","4","-4","0","0","0","2","-2","0","0","軀殼被困在水底下只好每天找人幫助以讓身軀能入土為安。"
"213","龍王","4","54","213","Y","","","","","3200","580","160","68","160","4","1","300","200","406","","","0","408|296","12|3","5","","","0|641","0|1","-16","4","0","0","0","-4","2","0","0","眾神獸的首領，全身金色光芒包覆著有著不可思議的治療能力。"
"214","黑龍","4","52","214","Y","","","","","2800","550","150","64","140","3","1","280","180","406","","","0","407|296","8|3","5","","","0|641","0|1","6","-16","0","0","0","-4","2","0","0","天庭內有呼喚風雨能力的聖龍，曾被海龍王要求幫助擊殺挪吒。"
"221","枯屍鬼","3","27","221","Y","","","","","300","127","50","35","60","3","2","28","25","4","","","0","","","0","","","0|627","0|3","4","0","0","0","-2","4","0","2","0","古埃及中將人的軀殼保存的密法，在施行之後人體的水份將完全被抽乾；進而守衛墓地。"
"222","枯屍鬼王","3","31","222","Y","","","","","400","136","55","37","89","4","1","36","15","135","","","0","","","0","","","0|627","0|3","4","0","0","0","-4","6","-2","0","0","古埃及中將人的軀殼保存的密法，在施行之後人體的水份將完全被抽乾；進而守衛墓地，其中有些較強的護衛都會成為眾枯屍的首領。"
"223","石獅精","9","48","223","Y","","","","","1800","530","160","58","100","4","1","90","50","133","1709|1709","4|3","4","","","0","","","0|621","0|3","0","0","4","-10","0","0","0","0","-4","原為廟寺前的守護靈獸像，但某些石像因受到仙靈的薰陶與日月的精華；遂能幻化為精。"
"226","獨角獸","4","44","226","Y","","","","","1000","500","100","63","120","4","2","0","0","1","","","0","430|430","6|2","5","","","678","1","0","0","0","0","0","0","0","0","0","擁有神奇的治癒能力，非常喜愛音樂只要有音樂的地方就會看見獨角獸；不少人千方百計的要捕捉牠把神奇的角取下。"
"238","尼梅亞獅","5","44","238","Y","","","","","1500","530","166","58","100","4","2","0","0","322","1709|1709","3|3","4","","","0","","","","","0","0","0","0","0","0","0","0","0","尼梅亞森林內的大怪獸，外形像獅子但是比一般的獅子大兩倍；會吐火焰經常吃食人類，後被海克力斯所殺。"
"253","雪芙","6","39","253","Y","","","","","1000","500","125","60","180","4","1","78","95","345","1695|0|1695","4|0|2","5","","","0","","","0|639","0|2","4","-12","0","0","0","0","0","0","0","一種棲息在冰中的仙靈，以人類女性的姿態出現，能自由自在的乘風飛翔。"
"254","肯塔羅斯","4","38","254","Y","","","","","1200","480","122","52","120","4","0","0","0","40","1513|1513","3|3","5","","","0","","","","","0","0","0","0","0","0","0","0","0","希臘傳說的怪物，上身為人下身為馬的半人獸；個性粗暴好色。"
"255","尼凱","0","59","255","Y","","","","","2600","600","180","64","180","4","1","0","0","40","1715|1715","3|3","4","431","5","5","","","","","0","0","0","0","0","0","0","0","0","即是勝利女神，在天界時被宙斯或雅典那撐在手上；隨時的姿態都是展翅欲飛的樣子，在出征前如果看到她此戰就穩操勝算的。"
"267","冥府獄卒","7","45","267","Y","","","","","700","390","106","54","120","3","1","75","60","3","","","0","321|320","5|4","5","","","0|662","0|5","0","0","2","-2","0","0","-2","0","0","專門巡視躲藏各地尚未至冥府報到的鬼魂，所有遊離鬼魂的剋星。"
"269","冤魂","7","39","269","Y","","","","","460","340","95","58","90","4","3","63","80","314","","","0","315|315","3|3","4","","","657","2","-4","0","0","0","0","4","0","0","0","世界各地都有許多因冤獄而死的人，如果沒有得到妥善的超渡就會成了厲鬼到處害人。"
"271","吊死鬼","7","41","271","Y","","","","","580","355","100","54","80","3","4","70","90","313","","","0","317|317","4|4","4","","","649","3","0","-2","0","0","0","4","0","0","0","常在子時出現，全身雪白的衣服披頭散髮；舌頭吐的極長模樣怪嚇人的。"
"272","餓死鬼","7","37","272","Y","","","","","400","330","88","49","100","5","3","50","100","295","","","0","296|296","3|3","3","","","628","3","2","0","0","0","-10","4","-2","0","-4","在國家動蕩不安天災人禍頻繁之時，就會有一群的民眾士兵餓死；出現時最好給它食物否則難保它會作出什麼事。"
"273","瘟鬼","7","43","273","Y","","","","","620","378","96","56","80","3","3","60","105","314","","","0","319|318","3|5","4","","","0|661","0|4","2","-2","0","0","-10","4","0","0","0","因瘟疫而死的人，不滿自己的死法所以變成瘟鬼散播病毒。"
"274","夜叉","8","42","274","Y","","","","","400","350","93","44","60","3","3","65","70","258","","","0","259","5","3","","","630","3","-2","0","0","-2","0","4","-4","0","0","面貌奇醜無比有，專門吃食鬼魂叫聲犀利悽慘讓人聽之喪膽。"
"277","雪女","6","45","277","Y","","","","","1500","446","105","63","130","4","2","94","140","122","1702|1702","4|3","5","","","0","","","0|709","0|2","4","-18","0","0","0","-2","0","0","0","受山神管轄只在一些雪地出現，不過卻經常趁山神不注意時跑出去各鄉村城鎮，與人類玩在一起。"
"281","天宮仙女","2","43","281","Y","","","","","1350","458","120","66","100","3","3","84","95","358","1703|1703","3|3","5","","","0","","","0|707","0|2","0","0","0","0","0","-2","4","0","0","天庭中地位較高的神都會有一宮庭，而就如人間宮庭內的婢女一樣的。"
"316","妖燈鬼","8","46","316","Y","","","","","1080","460","96","60","150","5","2","100","150","350","","","0","351|296","8|3","4","","","696|712","3|3","-16","4","0","0","0","4","-6","0","0","是一種藏於民家的魔怪，身形似燈所以人們較不易發覺；妖燈在趁機襲擊。"
"317","迷魂霧妖","9","45","317","Y","","","","","80","460","10","68","120","5","2","85","120","41","","","0","342|342","4|6","4","","","","","-8","-10","-10","-10","-10","0","-10","-10","-10","原是仙人的丹爐的法器，經五百年後有了自身的意識，不過卻不幸偏離了正道而遭打落凡間。"
"368","鬥戰聖佛","1","65","368","Y","","","","","3000","630","160","66","170","4","0","300","500","122","1705|1705","8|8","5","","","0","","","","","-4","-4","-4","-4","-8","-6","-4","-2","0","孫悟空護送唐三藏到西天取經回來後，回歸天庭，封為鬥戰聖佛。"
"377","死靈騎士","1","50","377","Y","","","","","3000","530","160","62","120","4","1","500","1000","","","","0","378|378","3|5","5","","","624|628","3|3","2","-2","0","0","-10","4","-12","0","0","遽聞是在某皇家內的一般的騎士團團長，身穿一身黑色的鎧甲擁有高超的騎術與鎗術。"
"378","鬥戰聖佛","1","57","378","","Y","","","","20000","630","160","66","170","4","0","1500","2000","122","1705|1704|1705","8|5|8","5","","","0","","","556","20","-4","-4","-4","-4","-8","-6","-4","-2","0","孫悟空護送唐三藏到西天取經回來後，回歸天庭，封為鬥戰聖佛。"
"379","鬥戰聖佛分身","1","50","379","","","Y","","","8000","580","140","60","160","0","0","0","0","122","","","0","","","0","","","","","-2","-2","-2","-2","-6","-4","-2","0","0","孫悟空護送唐三藏到西天取經回來後，回歸天庭，封為鬥戰聖佛。"
"380","教眾長老","23","48","380","","","","","","1200","380","148","58","180","3","2","90","200","313","1692","6","6","325|325","4|4","4","","","0|631","0|5","0","0","-6","0","0","-4","0","-2","0","黑檀教的法術高手，法力源自於雨丹子賜與，其代價為死後成為鬼也必須聽命於雨丹子。"
"381","黃八","23","45","381","","Y","Y","","","5800","360","158","55","180","3","2","400","500","313","1692","5","6","325|325","3|3","4","","","","","-2","-2","-4","-2","0","-2","-4","-2","0",""
"382","人屍","3","50","382","","Y","","","","3000","522","158","60","180","3","2","100","160","","","","0","422|422","3|3","5","","","","","-2","-2","-4","-2","0","-2","-12","-2","0","利用反曼陀羅陣所呼喚出的妖怪，擁有極邪氣的法術。"
"383","蜃樓石頭妖","8","45","383","","Y","Y","","","3500","350","150","40","40","2","0","300","0","1","","","0","206|206","3|2","3","","","","","-10","-10","8","-10","-10","-10","-10","-10","-10","蜃樓王幻化的妖怪，千萬別小看了他的外表。"
"384","蜃樓財寶怪","8","40","384","","Y","Y","","","2500","280","100","44","40","3","0","200","1000","132","","","0","","","0","","","","","8","-10","-10","-10","-10","-10","-10","-10","-10","蜃樓王幻化的妖怪，千萬別被它的財寶所吸引，不然會付出相當大的代價的。"
"385","響尾蛇","14","23","102","","","Y","","","135","115","64","48","20","3","2","11","8","4","","","0","10","3","3","","","","","0","0","0","0","-10","0","0","0","0","常於沙漠出現的橫行響尾蛇，速度快而且毒性又強。"
"386","大棕熊","14","26","386","","","","","","165","126","92","43","13","1","1","18","15","8","","","0","26","3","2","","","","","0","0","0","0","0","0","0","0","0","外型較一般的熊大，會主動攻擊別的生物作為食物。"
"387","銀背金剛","14","23","387","","","","","","140","126","80","40","20","2","1","13","8","1","","","0","26","3","3","","","","","0","0","0","0","0","0","0","0","0","只在少數的密林的出沒，體型碩大、力大無窮；吼叫時聽了都令人生畏。"
"388","紅鬃猿","14","22","388","","","","","","105","112","80","45","10","3","3","7","10","1","","","0","25","3","3","","","","","0","0","0","0","0","0","0","0","0","群居性動物，經常在森林、叢林等地偷襲來往的人類。"
"389","奧斯曼","23","30","389","","Y","","","","400","160","85","47","100","4","1","50","100","","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","大馬士革城內的黑衣大食兵，是葉塔的父親。"
"390","鬼爵","3","34","390","Y","","","","","220","160","79","40","80","3","1","34","40","153","","","0","154","4","3","","","627","3","2","-2","-2","-2","-10","4","-12","2","0","來自地獄邪惡的使者，外型與吸血鬼類似，但是在魔界中的地位與力量卻遠遠超過吸血鬼。"
"391","魚身人面妖","8","30","391","Y","","","","","180","150","89","45","90","3","1","25","20","137","","","0","","","0","","","","","4","-6","0","0","0","0","0","0","0","傳說中一種奇特的生物，能於路地上行動也能悠遊於水中；喜愛集體行動。"
"392","閻惡靈","7","29","392","Y","","","","","160","164","60","38","80","4","1","28","25","133","","","0","","","0","","","720","3","0","0","0","0","0","4","-4","0","-2","由數個怨靈組成的強大怨念體，這也造成此念體的強大力量；除非是得道高僧否則很難渡化這些怨念的。"
"393","沙漠綠蠍","14","25","393","","","","","","200","120","68","38","40","4","2","22","25","35","","","0","130","3","0","","","647","3","-2","4","0","-2","-10","0","0","0","0","是一種沙漠特有的毒蠍，速度與體型都較一般的毒蠍來的大；行走沙漠的商人或旅者們最怕也最討厭碰到牠們。"
"394","地獄妖貓","3","35","394","","Y","","","","150","138","90","53","90","6","2","35","25","90","1670","2","2","152","3","4","","","627","3","0","0","0","0","0","6","-6","0","0","當一些惡靈附身在其它死去的軀殼上時，就會產生一些變化；被長期的附身後全身成綠色且站立行走模樣甚是可怕。"
"395","高地骷髏妖","3","31","395","","Y","","","","700","127","85","60","70","4","1","180","120","1","","","0","94","3","3","","","","","2","2","0","0","-10","2","-2","-2","0","在某些高原上的神秘族群，他們會用一些奇異的古魔法喚出這一種特有的骷髏妖，去對付他們的敵人。"
"396","弒肉妖","8","25","396","","Y","","","","480","75","62","42","50","4","1","150","50","3","","","0","80","5","5","","","933","20","-2","0","0","-2","-10","2","0","2","0","原是中國地區的妖怪，後因機緣巧合在歐洲出現，傳言經常出沒山洞內，喜吃食人肉。"
"397","赤尾蠍子","14","17","397","","","","","","40","50","43","28","14","4","2","13","5","35","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","主要分布在各溫暖地區，要小心牠的雙螯但赤尾蠍那根毒針不具有麻醉作用，倒是雙螯特別的強悍。"
"398","加賽因","9","23","398","","Y","","","","100","48","25","28","43","4","1","25","30","5","1662","5","3","","","0","","","1005","20","0","2","0","0","0","2","-2","-4","0","是一種與巫師定下契約的妖精，通常被封於瓶子或戒指之內，在需要時再將其呼喚出，其能力相當廣泛，從做家事到殺人皆沒問題。達成任務後便又被封回去了。"
"399","修道院院長","23","20","399","","Y","","","","135","53","48","30","50","0","1","120","100","6","","","2","30","4","3","1574","1","","","-10","-10","-10","-10","-10","-10","-10","-10","0","修道院內的高階修士，比一般的修士或僧侶的修為更加高；通常都擔任修道院中重要的職位。"
"400","梅羅文加軍人","23","3","400","","","","","","15","15","12","17","10","0","0","10","10","5","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0",""
"403","死靈騎士","1","56","403","","Y","","","","3000","530","160","62","120","4","1","500","1000","","","","0","378|378","3|5","5","","","624|628","3|3","2","-2","0","0","-10","4","-6","0","0","遽聞是在某皇家內的一般的騎士團團長，身穿一身黑色的鎧甲擁有高超的騎術與鎗術。"
"407","教士","23","6","407","","","","","","24","30","20","29","30","1","2","6","10","6","","","0","13","3","3","","","621","5","0","0","0","0","0","-2","2","0","0","教堂內的低層下屬，有著些許的法力。"
"408","武僧","23","8","408","","","","","","38","35","23","25","20","1","1","10","8","1","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","身強體壯的修士，身手都有兩下子一般都在看守牢房。"
"409","梅羅文加軍人","23","7","409","","","","","","28","34","23","32","20","2","1","8","12","5","","","0","","","0","","","564","3","0","0","0","0","0","0","0","0","0","身著正統的梅羅文加軍鎧，大多數的軍人都仗勢欺壓百姓；因為他們通常都結隊出巡。"
"410","威尼斯水軍","23","15","410","","","","","","80","70","58","48","35","4","2","13","10","40","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0",""
"411","黑衣大食兵","23","35","411","","","","","","220","220","65","43","95","3","1","60","80","40","","","0","","","0","","","627","3","0","0","0","0","0","0","0","0","0","阿拉伯帝國（伊斯蘭）的阿拔斯家族士兵。"
"412","白衣大食兵","23","32","412","","","","","","220","200","60","45","95","3","1","40","70","40","","","0","","","0","","","627","3","0","0","0","0","0","0","0","0","0","阿拉伯帝國（伊斯蘭）的歐馬亞王朝士兵。"
"416","唐軍步卒","10","33","416","","","","","","250","204","64","45","100","4","1","55","100","189","","","0","","","0","","","0|628","0|3","0","0","0","0","0","0","0","0","0",""
"433","道士","23","45","433","","","Y","","","680","360","158","55","180","3","2","80","160","313","1692","5","6","325|325","3|3","4","","","","","-2","-2","-4","-2","0","-2","-4","-2","0",""
"438","蔡魔王","1","99","438","","","Y","","","10000","100","100","40","0","0","0","1","1","1","1676|1668","2|2","1","1683","5","3","","","","","0","0","0","0","0","0","0","0","0","DOMO小組的頭頭，擁有無限的邪惡能量，軒轅劍參所有的怪物加起來都不是他的對手，擁有毀DOMO滅軒轅劍的力量"
"2201","土匪","23","50","2201","Y","","Y","","","3000","530","160","62","120","4","1","500","1000","189","","","0","378|378","3|5","5","","","624|628","3|3","0","0","0","0","0","0","0","0","0","集結出動行搶的強盜，盤據在固定的地方有一位或數位的領導者帶領。"
"2202","NAME1032","23","50","75","","Y","Y","","","10000","550","66","72","80","5","0","1000","3000","412","","","6","","","5","","","645","20","0","0","0","0","0","0","0","0","0",""
"2203","山鬼","7","35","185","Y","","Y","","","9999","1","999","46","80","4","2","30","45","3","","","0","252","99","10","","","0|627","0|3","0","0","2","-4","-10","4","0","0","0","一些旅行各地的人常因某些原因而葬身山中，在沒人發現的情況下就成了孤魂野鬼出不了此山。"
