"item_id","name","race_id","level","act","battle_data_complete","existing_living_card","story_or_special_flag","not_in_book","discard","race_catch","native_capture_at_player_level_cap","native_capture_reason","hp","atk","def","skills_present","special_effects_present","capture_card_status","note"
"191","樂仙女","2","45","191","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1160","430","112","1546|1546|1546","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"194","白無常","1","53","194","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","2300","530","136","1691|1691","323","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"197","耆戈","0","38","197","Y","Y","","","","","否","原版種族沒有 catch=true。","320","205","100","","192|192","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"198","太白金星","0","54","198","Y","Y","","","","","否","原版種族沒有 catch=true。","2500","560","145","1707|0|1707","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"199","天將","2","51","199","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","2800","570","135","","405|405","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"206","惡靈","7","21","206","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","40","56","30","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"208","水鬼","7","17","208","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","53","53","34","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"213","龍王","4","54","213","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","3200","580","160","","408|296","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"214","黑龍","4","52","214","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","2800","550","150","","407|296","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"221","枯屍鬼","3","27","221","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","300","127","50","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"222","枯屍鬼王","3","31","222","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","400","136","55","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"223","石獅精","9","48","223","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1800","530","160","1709|1709","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"226","獨角獸","4","44","226","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1000","500","100","","430|430","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"238","尼梅亞獅","5","44","238","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1500","530","166","1709|1709","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"253","雪芙","6","39","253","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1000","500","125","1695|0|1695","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"254","肯塔羅斯","4","38","254","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1200","480","122","1513|1513","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"255","尼凱","0","59","255","Y","Y","","","","","否","原版種族沒有 catch=true。","2600","600","180","1715|1715","431","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"267","冥府獄卒","7","45","267","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","700","390","106","","321|320","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"269","冤魂","7","39","269","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","460","340","95","","315|315","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"271","吊死鬼","7","41","271","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","580","355","100","","317|317","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"272","餓死鬼","7","37","272","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","400","330","88","","296|296","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"273","瘟鬼","7","43","273","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","620","378","96","","319|318","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"274","夜叉","8","42","274","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","400","350","93","","259","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"277","雪女","6","45","277","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1500","446","105","1702|1702","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"281","天宮仙女","2","43","281","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1350","458","120","1703|1703","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"316","妖燈鬼","8","46","316","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1080","460","96","","351|296","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"317","迷魂霧妖","9","45","317","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","80","460","10","","342|342","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"368","鬥戰聖佛","1","65","368","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","3000","630","160","1705|1705","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"377","死靈騎士","1","50","377","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","3000","530","160","","378|378","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"378","鬥戰聖佛","1","57","378","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","20000","630","160","1705|1704|1705","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"379","鬥戰聖佛分身","1","50","379","Y","","","Y","","Y","否","原版拒絕非 IT_12 活物卡。","8000","580","140","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"380","教眾長老","23","48","380","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","1200","380","148","1692","325|325","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"381","黃八","23","45","381","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","5800","360","158","1692","325|325","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"382","人屍","3","50","382","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3000","522","158","","422|422","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"383","蜃樓石頭妖","8","45","383","Y","","Y","Y","","Y","否","原版拒絕 IT_06 劇情類目標。","3500","350","150","","206|206","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"384","蜃樓財寶怪","8","40","384","Y","","Y","Y","","Y","否","原版拒絕 IT_06 劇情類目標。","2500","280","100","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"385","響尾蛇","14","23","102","Y","","","Y","","Y","否","原版拒絕非 IT_12 活物卡。","135","115","64","","10","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"386","大棕熊","14","26","386","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","165","126","92","","26","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"387","銀背金剛","14","23","387","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","140","126","80","","26","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"388","紅鬃猿","14","22","388","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","105","112","80","","25","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"389","奧斯曼","23","30","389","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","400","160","85","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"390","鬼爵","3","34","390","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","220","160","79","","154","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"391","魚身人面妖","8","30","391","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","180","150","89","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"392","閻惡靈","7","29","392","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","160","164","60","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"393","沙漠綠蠍","14","25","393","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","200","120","68","","130","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"394","地獄妖貓","3","35","394","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","150","138","90","1670","152","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"395","高地骷髏妖","3","31","395","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","700","127","85","","94","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"396","弒肉妖","8","25","396","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","480","75","62","","80","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"397","赤尾蠍子","14","17","397","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","40","50","43","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"398","加賽因","9","23","398","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","100","48","25","1662","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"399","修道院院長","23","20","399","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","135","53","48","","30","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"400","梅羅文加軍人","23","3","400","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","15","15","12","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"403","死靈騎士","1","56","403","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3000","530","160","","378|378","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"407","教士","23","6","407","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","24","30","20","","13","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"408","武僧","23","8","408","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","38","35","23","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"409","梅羅文加軍人","23","7","409","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","28","34","23","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"410","威尼斯水軍","23","15","410","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","80","70","58","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"411","黑衣大食兵","23","35","411","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","220","220","65","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"412","白衣大食兵","23","32","412","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","220","200","60","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"416","唐軍步卒","10","33","416","Y","","","","","","否","原版拒絕非 IT_12 活物卡。","250","204","64","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"433","道士","23","45","433","Y","","","Y","","","否","原版拒絕非 IT_12 活物卡。","680","360","158","1692","325|325","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"438","蔡魔王","1","99","438","Y","","","Y","","Y","否","原版拒絕非 IT_12 活物卡。","10000","100","100","1676|1668","1683","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"2201","土匪","23","50","2201","Y","Y","","Y","","","否","原版種族沒有 catch=true。","3000","530","160","","378|378","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"2202","NAME1032","23","50","75","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","10000","550","66","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"2203","山鬼","7","35","185","Y","Y","","Y","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","9999","1","999","","252","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
